                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.66388,                0.52811,                 1.0143,                0.97389,                0.99898,                0.99089,                0.87483,                0.49572,                0.38793,                0.90568,                0.00101,                0.00101,                0.00101
                     52,                0.65965,                0.51501,                 1.0004,                0.97231,                      1,                 0.9921,                 0.8626,                 0.5271,                0.39529,                0.92554,              0.0009902,              0.0009902,              0.0009902
                     53,                0.60567,                 0.5148,                0.95901,                0.98214,                0.98207,                0.99088,                0.87042,                0.51673,                0.39491,                0.92255,              0.0009704,              0.0009704,              0.0009704
                     54,                0.55999,                0.47677,                0.93982,                0.98213,                0.98143,                 0.9876,                0.85513,                0.52011,                0.39547,                 0.9179,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61696,                0.51517,                0.97796,                0.98211,                0.98057,                0.98728,                0.86425,                0.51394,                0.40782,                0.90773,              0.0009308,              0.0009308,              0.0009308
                     56,                0.59126,                0.50154,                0.96055,                0.98071,                0.98214,                0.99181,                0.85645,                0.50912,                0.40804,                0.91854,               0.000911,               0.000911,               0.000911
                     57,                0.58768,                0.49236,                0.97384,                0.98244,                0.99905,                 0.9941,                0.86301,                0.49182,                0.37474,                 0.9224,              0.0008912,              0.0008912,              0.0008912
                     58,                0.60619,                0.50108,                0.96504,                 0.9814,                      1,                0.99401,                0.87073,                0.49894,                0.36806,                   0.92,              0.0008714,              0.0008714,              0.0008714
                     59,                0.59555,                0.48819,                0.95987,                0.97342,                      1,                0.99328,                0.86978,                0.50276,                0.37512,                0.91217,              0.0008516,              0.0008516,              0.0008516
                     60,                0.61939,                0.48182,                0.98006,                0.96441,                0.96779,                0.98403,                0.86088,                0.49669,                0.43629,                0.91251,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.5815,                0.49576,                0.96916,                0.97032,                0.94643,                0.97476,                0.84751,                0.51241,                0.48283,                0.92345,               0.000812,               0.000812,               0.000812
                     62,                0.56711,                0.47438,                0.95597,                0.93836,                0.98214,                0.97791,                0.84563,                0.51706,                0.45336,                0.92401,              0.0007922,              0.0007922,              0.0007922
                     63,                0.54316,                0.44311,                0.94821,                0.97329,                0.98214,                0.98372,                 0.8596,                0.51854,                0.40977,                0.92625,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58115,                0.46205,                0.95543,                0.98228,                0.98971,                0.98878,                 0.8748,                0.48785,                0.36621,                0.91508,              0.0007526,              0.0007526,              0.0007526
                     65,                0.60914,                0.48499,                0.98687,                0.98228,                0.98976,                0.98955,                0.87547,                0.51136,                0.37545,                0.93133,              0.0007328,              0.0007328,              0.0007328
                     66,                0.56261,                0.45885,                0.95949,                 0.9778,                0.95536,                0.98537,                0.84842,                0.54933,                0.45653,                 0.9494,               0.000713,               0.000713,               0.000713
                     67,                0.57077,                0.47292,                0.96374,                0.98209,                0.97899,                0.98789,                0.85343,                0.52456,                0.44339,                0.94465,              0.0006932,              0.0006932,              0.0006932
